#"BArt";"dGz100";"Alter";"N";"Hm";"Ho";"G";"Dg";"Form";"VDerb";"VDerbAus";"lGzDerb";"VVorNutz";"GWLDerb";"dGzDerb";"Bemerkungen"
1;7.00;95.00;860.00;23.50;25.60;38.00;23.70;51.00;452.00;27.00;8.30;207.00;659.00;6.90;
1;7.00;100.00;770.00;24.40;26.40;37.60;25.00;51.00;464.00;29.00;8.20;236.00;700.00;7.00;
1;7.00;105.00;690.00;25.20;27.10;37.10;26.20;51.00;473.00;31.00;8.00;267.00;740.00;7.00;
1;7.00;110.00;620.00;26.00;27.80;36.50;27.40;51.00;481.00;32.00;7.90;299.00;780.00;7.10;
1;7.00;115.00;561.00;26.80;28.50;36.00;28.60;51.00;486.00;34.00;7.80;333.00;819.00;7.10;
1;7.00;120.00;511.00;27.50;29.20;35.60;29.80;50.00;489.00;35.00;7.70;368.00;857.00;7.10;
1;7.00;125.00;468.00;28.20;29.80;35.20;30.90;50.00;492.00;35.00;7.60;403.00;895.00;7.20;
1;7.00;130.00;432.00;28.90;30.40;34.80;32.00;49.00;494.00;35.00;7.50;438.00;932.00;7.20;
1;8.00;25.00;5440.00;5.50;6.90;18.80;6.60;20.00;20.00;-1.00;-1.00;-1.00;20.00;0.80;
1;8.00;30.00;4348.00;7.00;8.80;23.10;8.20;31.00;51.00;3.00;6.80;3.00;54.00;1.80;
1;8.00;35.00;3575.00;8.70;10.90;26.50;9.70;39.00;89.00;7.00;9.00;10.00;99.00;2.80;
1;8.00;40.00;2973.00;10.60;13.00;29.10;11.20;44.00;135.00;9.00;11.00;19.00;154.00;3.90;
1;8.00;45.00;2506.00;12.50;15.10;31.30;12.60;48.00;188.00;12.00;12.90;31.00;219.00;4.90;
1;8.00;50.00;2145.00;14.30;16.90;33.10;14.00;51.00;241.00;14.00;13.50;45.00;286.00;5.70;
1;8.00;55.00;1856.00;16.10;18.70;34.70;15.40;52.00;289.00;16.00;12.80;61.00;350.00;6.40;
1;8.00;60.00;1624.00;17.70;20.30;36.00;16.80;52.00;333.00;17.00;12.10;78.00;411.00;6.80;
1;8.00;65.00;1431.00;19.10;21.60;37.20;18.20;52.00;370.00;19.00;11.20;97.00;467.00;7.20;
1;8.00;70.00;1269.00;20.40;22.80;38.30;19.60;52.00;402.00;21.00;10.60;118.00;520.00;7.40;
1;8.00;75.00;1133.00;21.60;23.90;39.10;21.00;51.00;431.00;22.00;10.10;140.00;571.00;7.60;
1;8.00;80.00;1013.00;22.70;24.90;39.80;22.40;51.00;455.00;24.00;9.70;164.00;619.00;7.70;
1;8.00;85.00;907.00;23.70;25.80;40.20;23.80;50.00;476.00;26.00;9.40;190.00;666.00;7.80;
1;8.00;90.00;812.00;24.70;26.70;40.40;25.20;50.00;494.00;28.00;9.10;218.00;712.00;7.90;
1;8.00;95.00;727.00;25.60;27.50;40.30;26.60;49.00;508.00;30.00;8.90;248.00;756.00;8.00;
1;8.00;100.00;650.00;26.40;28.20;40.00;28.00;49.00;520.00;32.00;8.70;280.00;800.00;8.00;
1;8.00;105.00;582.00;27.20;28.90;39.60;29.40;49.00;529.00;33.00;8.50;313.00;842.00;8.00;
1;8.00;110.00;522.00;28.00;29.60;39.00;30.80;49.00;536.00;35.00;8.30;348.00;884.00;8.00;
1;8.00;115.00;471.00;28.80;30.30;38.50;32.30;49.00;541.00;36.00;8.20;384.00;925.00;8.00;
1;8.00;120.00;428.00;29.50;30.90;38.00;33.70;49.00;544.00;37.00;8.10;421.00;965.00;8.00;
1;8.00;125.00;391.00;30.10;31.50;37.60;35.00;48.00;547.00;37.00;8.00;458.00;1005.00;8.00;
1;8.00;130.00;360.00;30.80;32.10;37.30;36.40;48.00;550.00;37.00;7.80;495.00;1045.00;8.00;
1;9.00;20.00;6497.00;4.80;0.00;17.50;5.90;8.00;7.00;-1.00;-1.00;-1.00;7.00;0.30;
1;9.00;25.00;4835.00;6.30;7.90;22.00;7.60;26.00;36.00;2.00;6.20;2.00;38.00;1.50;
1;9.00;30.00;3778.00;8.10;10.10;25.70;9.30;35.00;73.00;6.00;8.70;8.00;81.00;2.70;
1;9.00;35.00;3052.00;10.00;12.30;28.60;10.90;41.00;119.00;9.00;10.90;17.00;136.00;3.90;
1;9.00;40.00;2512.00;12.10;14.70;31.10;12.60;47.00;176.00;12.00;13.70;29.00;205.00;5.10;
1;9.00;45.00;2113.00;14.10;16.70;33.20;14.20;50.00;235.00;14.00;14.60;43.00;278.00;6.20;
1;9.00;50.00;1805.00;16.10;18.70;35.00;15.70;52.00;292.00;16.00;14.70;59.00;351.00;7.00;
1;9.00;55.00;1563.00;17.90;20.50;36.60;17.30;52.00;344.00;18.00;14.00;77.00;421.00;7.70;
1;9.00;60.00;1368.00;19.60;22.10;38.00;18.80;52.00;389.00;20.00;13.10;97.00;486.00;8.10;
1;9.00;65.00;1208.00;21.00;23.40;39.20;20.30;52.00;428.00;22.00;12.10;119.00;547.00;8.40;
1;9.00;70.00;1073.00;22.30;24.50;40.20;21.90;51.00;460.00;24.00;11.30;143.00;603.00;8.60;
1;9.00;75.00;958.00;23.50;25.60;41.10;23.40;50.00;488.00;26.00;10.80;169.00;657.00;8.80;
1;9.00;80.00;858.00;24.60;26.60;41.70;24.90;50.00;512.00;28.00;10.30;197.00;709.00;8.90;
1;9.00;85.00;770.00;25.60;27.50;42.20;26.40;49.00;533.00;29.00;10.00;226.00;759.00;8.90;
1;9.00;90.00;692.00;26.60;28.40;42.40;27.90;49.00;550.00;31.00;9.70;257.00;807.00;9.00;
1;9.00;95.00;621.00;27.50;29.20;42.40;29.50;48.00;564.00;33.00;9.40;290.00;854.00;9.00;
1;9.00;100.00;558.00;28.30;29.80;42.30;31.10;48.00;575.00;35.00;9.10;325.00;900.00;9.00;
1;9.00;105.00;501.00;29.10;30.50;42.00;32.60;48.00;583.00;36.00;8.90;361.00;944.00;9.00;
1;9.00;110.00;451.00;29.80;31.20;41.50;34.20;47.00;590.00;37.00;8.60;398.00;988.00;9.00;
1;9.00;115.00;409.00;30.60;31.90;41.10;35.80;47.00;594.00;38.00;8.50;436.00;1030.00;9.00;
1;9.00;120.00;372.00;31.20;32.50;40.70;37.30;47.00;597.00;39.00;8.30;475.00;1072.00;8.90;
1;9.00;125.00;340.00;31.90;33.10;40.30;38.90;46.00;599.00;39.00;8.20;514.00;1113.00;8.90;
1;9.00;130.00;313.00;32.50;33.60;40.00;40.30;46.00;600.00;39.00;8.10;553.00;1153.00;8.90;
1;10.00;20.00;6076.00;5.50;6.90;21.00;6.60;17.00;20.00;-1.00;-1.00;-1.00;20.00;1.00;
1;10.00;25.00;4494.00;7.20;9.00;24.80;8.40;31.00;54.00;5.00;7.80;5.00;59.00;2.40;
1;10.00;30.00;3445.00;9.20;11.40;28.00;10.20;39.00;99.00;8.00;10.60;13.00;112.00;3.70;
1;10.00;35.00;2740.00;11.40;13.90;30.60;11.90;45.00;155.00;12.00;13.60;25.00;180.00;5.10;
1;10.00;40.00;2237.00;13.60;16.20;32.90;13.70;49.00;218.00;15.00;15.50;40.00;258.00;6.40;
1;10.00;45.00;1866.00;15.70;18.30;34.80;15.40;51.00;281.00;17.00;16.00;57.00;338.00;7.50;
1;10.00;50.00;1589.00;17.80;20.40;36.60;17.10;52.00;340.00;19.00;15.70;76.00;416.00;8.30;
1;10.00;55.00;1372.00;19.70;22.20;38.10;18.80;53.00;394.00;21.00;15.00;97.00;491.00;8.90;
1;10.00;60.00;1201.00;21.30;23.60;39.50;20.50;52.00;441.00;23.00;13.90;120.00;561.00;9.30;
1;10.00;65.00;1060.00;22.80;25.00;40.80;22.10;52.00;480.00;25.00;12.90;145.00;625.00;9.60;
1;10.00;70.00;944.00;24.10;26.20;41.90;23.80;51.00;513.00;27.00;12.00;172.00;685.00;9.80;
1;10.00;75.00;845.00;25.30;27.20;42.80;25.40;50.00;542.00;29.00;11.50;201.00;743.00;9.90;
1;10.00;80.00;759.00;26.40;28.20;43.50;27.00;49.00;565.00;31.00;11.00;232.00;797.00;10.00;
1;10.00;85.00;683.00;27.40;29.10;44.00;28.70;49.00;587.00;32.00;10.70;264.00;851.00;10.00;
1;10.00;90.00;616.00;28.30;29.80;44.40;30.30;48.00;604.00;34.00;10.30;298.00;902.00;10.00;
1;10.00;95.00;555.00;29.20;30.60;44.50;32.00;48.00;618.00;36.00;10.00;334.00;952.00;10.00;
1;10.00;100.00;501.00;30.10;31.50;44.40;33.60;47.00;629.00;37.00;9.60;371.00;1000.00;10.00;
1;10.00;105.00;452.00;30.80;32.10;44.10;35.30;47.00;637.00;38.00;9.30;409.00;1046.00;10.00;
1;10.00;110.00;409.00;31.60;32.80;43.80;36.90;47.00;643.00;39.00;9.00;448.00;1091.00;9.90;
1;10.00;115.00;371.00;32.20;33.40;43.40;38.60;46.00;647.00;40.00;8.80;488.00;1135.00;9.90;
1;10.00;120.00;339.00;32.90;34.00;43.00;40.20;46.00;649.00;41.00;8.60;529.00;1178.00;9.80;
1;10.00;125.00;310.00;33.50;34.50;42.60;41.80;46.00;651.00;41.00;8.50;570.00;1221.00;9.80;
1;10.00;130.00;286.00;34.10;35.10;42.10;43.30;45.00;653.00;40.00;8.40;610.00;1263.00;9.70;
1;11.00;20.00;5957.00;6.30;7.90;23.30;7.10;24.00;36.00;2.00;-1.00;2.00;38.00;1.90;
1;11.00;25.00;4340.00;8.20;10.30;27.20;8.90;34.00;77.00;6.00;9.40;8.00;85.00;3.40;
1;11.00;30.00;3277.00;10.40;12.80;30.10;10.80;41.00;130.00;10.00;12.60;18.00;148.00;4.90;
1;11.00;35.00;2570.00;12.70;15.30;32.40;12.70;47.00;194.00;14.00;15.70;32.00;226.00;6.50;
1;11.00;40.00;2073.00;15.10;17.70;34.40;14.50;51.00;265.00;17.00;17.50;49.00;314.00;7.80;
1;11.00;45.00;1715.00;17.30;19.90;36.10;16.40;53.00;330.00;20.00;17.00;69.00;399.00;8.90;
1;11.00;50.00;1450.00;19.50;22.00;37.70;18.20;53.00;391.00;22.00;16.70;91.00;482.00;9.60;
1;11.00;55.00;1247.00;21.40;23.70;39.20;20.00;53.00;446.00;24.00;15.80;115.00;561.00;10.20;
1;11.00;60.00;1089.00;23.00;25.20;40.60;21.80;53.00;493.00;27.00;14.70;142.00;635.00;10.60;
1;11.00;65.00;962.00;24.50;26.50;41.90;23.60;52.00;532.00;29.00;13.60;171.00;703.00;10.80;
1;11.00;70.00;859.00;25.80;27.60;43.10;25.30;51.00;565.00;30.00;12.70;201.00;766.00;10.90;
1;11.00;75.00;770.00;27.00;28.70;44.20;27.00;50.00;594.00;32.00;12.20;233.00;827.00;11.00;
1;11.00;80.00;694.00;28.10;29.70;45.10;28.80;49.00;619.00;34.00;11.70;267.00;886.00;11.10;
1;11.00;85.00;628.00;29.10;30.50;45.80;30.50;48.00;641.00;35.00;11.30;302.00;943.00;11.10;
1;11.00;90.00;568.00;30.00;31.40;46.20;32.20;48.00;658.00;37.00;10.90;339.00;997.00;11.10;
1;11.00;95.00;515.00;30.90;32.20;46.40;33.90;47.00;673.00;38.00;10.50;377.00;1050.00;11.00;
1;11.00;100.00;467.00;31.70;32.90;46.30;35.60;47.00;684.00;39.00;10.10;416.00;1100.00;11.00;
1;11.00;105.00;423.00;32.40;33.50;46.10;37.20;46.00;693.00;40.00;9.70;456.00;1149.00;10.90;
1;11.00;110.00;385.00;33.20;34.30;45.70;38.90;46.00;698.00;41.00;9.40;497.00;1195.00;10.90;
1;11.00;115.00;351.00;33.80;34.80;45.30;40.50;46.00;702.00;42.00;9.10;539.00;1241.00;10.80;
1;11.00;120.00;322.00;34.50;35.50;44.80;42.10;46.00;705.00;42.00;8.90;581.00;1286.00;10.70;
1;11.00;125.00;295.00;35.10;36.10;44.30;43.70;45.00;707.00;42.00;8.80;623.00;1330.00;10.60;
1;11.00;130.00;273.00;35.70;36.70;43.80;45.20;45.00;708.00;42.00;8.60;665.00;1373.00;10.60;
1;12.00;15.00;8854.00;5.10;6.40;21.00;5.50;12.00;12.00;-1.00;-1.00;-1.00;12.00;0.80;
1;12.00;20.00;5824.00;7.10;8.90;25.70;7.50;29.00;52.00;4.00;8.60;4.00;56.00;2.80;
1;12.00;25.00;4192.00;9.20;11.40;29.50;9.50;37.00;99.00;8.00;11.10;12.00;111.00;4.40;
1;12.00;30.00;3117.00;11.50;14.00;32.20;11.50;43.00;160.00;12.00;14.60;24.00;184.00;6.10;
1;12.00;35.00;2417.00;14.00;16.60;34.20;13.40;49.00;234.00;16.00;17.90;40.00;274.00;7.80;
1;12.00;40.00;1928.00;16.50;19.10;35.90;15.40;52.00;308.00;19.00;18.60;59.00;367.00;9.20;
1;12.00;45.00;1584.00;18.90;21.40;37.40;17.30;53.00;377.00;22.00;18.30;81.00;458.00;10.20;
1;12.00;50.00;1331.00;21.00;23.40;38.80;19.30;54.00;441.00;25.00;17.80;106.00;547.00;10.90;
1;12.00;55.00;1140.00;22.90;25.10;40.20;21.20;54.00;497.00;27.00;16.70;133.00;630.00;11.50;
1;12.00;60.00;994.00;24.60;26.60;41.60;23.10;53.00;545.00;30.00;15.50;163.00;708.00;11.80;
1;12.00;65.00;879.00;26.00;27.80;43.00;25.00;52.00;585.00;32.00;14.40;195.00;780.00;12.00;
1;12.00;70.00;785.00;27.30;29.00;44.40;26.80;51.00;619.00;33.00;13.50;228.00;847.00;12.10;
1;12.00;75.00;707.00;28.50;30.00;45.60;28.70;50.00;649.00;35.00;13.00;263.00;912.00;12.20;
1;12.00;80.00;639.00;29.60;31.00;46.70;30.50;49.00;675.00;36.00;12.40;299.00;974.00;12.20;
1;12.00;85.00;580.00;30.60;31.90;47.50;32.30;48.00;697.00;38.00;12.00;337.00;1034.00;12.20;
1;12.00;90.00;528.00;31.60;32.80;48.00;34.10;47.00;716.00;39.00;11.50;376.00;1092.00;12.10;
1;12.00;95.00;480.00;32.40;33.50;48.30;35.80;47.00;731.00;40.00;11.10;416.00;1147.00;12.10;
1;12.00;100.00;437.00;33.20;34.30;48.20;37.50;46.00;743.00;41.00;10.60;457.00;1200.00;12.00;
1;12.00;105.00;398.00;34.00;35.00;48.00;39.20;46.00;752.00;42.00;10.10;499.00;1251.00;11.90;
1;12.00;110.00;363.00;34.70;35.70;47.70;40.90;46.00;757.00;43.00;9.80;542.00;1299.00;11.80;
1;12.00;115.00;333.00;35.30;36.30;47.20;42.50;46.00;761.00;44.00;9.50;586.00;1347.00;11.70;
1;12.00;120.00;306.00;35.90;36.90;46.70;44.10;45.00;763.00;44.00;9.30;630.00;1393.00;11.60;
1;12.00;125.00;282.00;36.50;37.50;46.10;45.70;45.00;764.00;44.00;9.00;674.00;1438.00;11.50;
1;12.00;130.00;260.00;37.10;38.00;45.50;47.20;45.00;764.00;44.00;8.80;718.00;1482.00;11.40;
1;13.00;15.00;8750.00;5.60;7.00;23.20;5.80;17.00;22.00;1.00;-1.00;1.00;23.00;1.50;
1;13.00;20.00;5684.00;7.80;9.80;28.00;7.90;31.00;67.00;6.00;10.20;7.00;74.00;3.70;
1;13.00;25.00;4049.00;10.00;12.30;31.90;10.00;37.00;119.00;10.00;12.60;17.00;136.00;5.50;
1;13.00;30.00;2978.00;12.50;15.10;34.20;12.10;44.00;190.00;14.00;16.80;31.00;221.00;7.40;
1;13.00;35.00;2281.00;15.20;17.80;36.00;14.20;49.00;269.00;18.00;19.60;49.00;318.00;9.10;
1;13.00;40.00;1803.00;17.80;20.40;37.40;16.20;52.00;347.00;22.00;19.90;71.00;418.00;10.40;
1;13.00;45.00;1470.00;20.30;22.70;38.60;18.30;54.00;420.00;25.00;19.60;96.00;516.00;11.50;
1;13.00;50.00;1228.00;22.50;24.70;39.90;20.30;54.00;487.00;28.00;19.00;124.00;611.00;12.20;
1;13.00;55.00;1048.00;24.40;26.40;41.20;22.40;54.00;544.00;31.00;17.60;155.00;699.00;12.70;
1;13.00;60.00;913.00;26.10;27.90;42.70;24.40;53.00;593.00;33.00;16.30;188.00;781.00;13.00;
1;13.00;65.00;807.00;27.50;29.20;44.20;26.40;52.00;634.00;35.00;15.20;223.00;857.00;13.20;
1;13.00;70.00;723.00;28.80;30.30;45.70;28.40;51.00;669.00;36.00;14.30;259.00;928.00;13.30;
1;13.00;75.00;652.00;30.00;31.40;47.00;30.30;50.00;700.00;38.00;13.70;297.00;997.00;13.30;
1;13.00;80.00;592.00;31.10;32.40;48.30;32.20;49.00;727.00;39.00;13.20;336.00;1063.00;13.30;
1;13.00;85.00;539.00;32.10;33.30;49.20;34.10;48.00;750.00;40.00;12.70;376.00;1126.00;13.20;
1;13.00;90.00;492.00;33.00;34.10;49.90;35.90;47.00;769.00;42.00;12.10;418.00;1187.00;13.20;
1;13.00;95.00;449.00;33.90;34.90;50.20;37.70;46.00;784.00;43.00;11.60;461.00;1245.00;13.10;
1;13.00;100.00;410.00;34.70;35.70;50.20;39.50;46.00;796.00;43.00;11.10;504.00;1300.00;13.00;
1;13.00;105.00;375.00;35.40;36.40;49.90;41.20;46.00;805.00;44.00;10.50;548.00;1351.00;12.90;
1;13.00;110.00;344.00;36.10;37.10;49.60;42.80;45.00;810.00;45.00;10.20;593.00;1403.00;12.80;
1;13.00;115.00;317.00;36.70;37.60;49.10;44.40;45.00;815.00;45.00;9.80;638.00;1453.00;12.60;
1;13.00;120.00;292.00;37.30;38.20;48.60;46.00;45.00;817.00;45.00;9.50;683.00;1500.00;12.50;
1;13.00;125.00;269.00;37.90;38.80;47.90;47.60;45.00;817.00;46.00;9.20;729.00;1546.00;12.40;
1;13.00;130.00;249.00;38.50;39.40;47.10;49.10;45.00;817.00;46.00;9.00;775.00;1592.00;12.20;
1;14.00;15.00;8621.00;6.10;7.60;25.40;6.10;20.00;30.00;3.00;-1.00;3.00;33.00;2.20;
1;14.00;20.00;5542.00;8.40;10.50;30.30;8.40;32.00;81.00;7.00;11.70;10.00;91.00;4.60;
1;14.00;25.00;3912.00;10.90;13.30;34.20;10.60;38.00;142.00;12.00;14.50;22.00;164.00;6.60;
1;14.00;30.00;2845.00;13.50;16.10;36.30;12.80;44.00;218.00;16.00;18.40;38.00;256.00;8.50;
1;14.00;35.00;2159.00;16.30;18.90;37.70;14.90;49.00;303.00;20.00;21.00;58.00;361.00;10.30;
1;14.00;40.00;1693.00;19.10;21.60;38.80;17.10;52.00;386.00;24.00;21.50;82.00;468.00;11.70;
1;14.00;45.00;1372.00;21.60;23.90;39.90;19.20;54.00;463.00;28.00;21.10;110.00;573.00;12.70;
1;14.00;50.00;1139.00;23.90;26.00;41.00;21.40;55.00;533.00;31.00;20.20;141.00;674.00;13.50;
1;14.00;55.00;969.00;25.80;27.60;42.30;23.60;54.00;592.00;34.00;18.60;175.00;767.00;14.00;
1;14.00;60.00;842.00;27.50;29.20;43.70;25.70;54.00;642.00;36.00;17.20;211.00;853.00;14.20;
1;14.00;65.00;745.00;28.90;30.40;45.30;27.80;52.00;685.00;38.00;16.10;249.00;934.00;14.40;
1;14.00;70.00;668.00;30.20;31.50;46.90;29.90;51.00;720.00;40.00;15.10;289.00;1009.00;14.40;
1;14.00;75.00;604.00;31.40;32.60;48.50;32.00;50.00;752.00;41.00;14.50;330.00;1082.00;14.40;
1;14.00;80.00;551.00;32.50;33.60;49.80;34.00;48.00;779.00;42.00;13.90;372.00;1151.00;14.40;
1;14.00;85.00;503.00;33.50;34.50;50.90;35.90;47.00;803.00;43.00;13.40;415.00;1218.00;14.30;
1;14.00;90.00;461.00;34.40;35.40;51.70;37.80;46.00;822.00;44.00;12.70;459.00;1281.00;14.20;
1;14.00;95.00;422.00;35.30;36.30;52.10;39.70;46.00;838.00;45.00;12.20;504.00;1342.00;14.10;
1;14.00;100.00;387.00;36.00;37.00;52.10;41.40;45.00;850.00;46.00;11.50;550.00;1400.00;14.00;
1;14.00;105.00;355.00;36.80;37.70;51.90;43.10;45.00;859.00;46.00;10.90;596.00;1455.00;13.90;
1;14.00;110.00;327.00;37.40;38.30;51.50;44.80;45.00;865.00;46.00;10.50;642.00;1507.00;13.70;
1;14.00;115.00;302.00;38.10;39.00;51.10;46.40;45.00;869.00;47.00;10.20;689.00;1558.00;13.50;
1;14.00;120.00;279.00;38.70;39.60;50.40;48.00;45.00;871.00;47.00;9.80;736.00;1607.00;13.40;
1;14.00;125.00;258.00;39.20;40.10;49.60;49.50;45.00;871.00;47.00;9.50;783.00;1654.00;13.20;
1;14.00;130.00;239.00;39.70;40.60;48.80;51.10;45.00;869.00;48.00;9.20;831.00;1700.00;13.10;
1;15.00;15.00;8475.00;6.50;8.10;27.50;6.40;22.00;39.00;4.00;-1.00;4.00;43.00;2.90;
1;15.00;20.00;5399.00;9.10;11.30;32.70;8.80;32.00;96.00;9.00;13.20;13.00;109.00;5.50;
1;15.00;25.00;3776.00;11.70;14.20;36.50;11.10;38.00;164.00;14.00;16.40;27.00;191.00;7.60;
1;15.00;30.00;2727.00;14.50;17.10;38.40;13.40;44.00;245.00;18.00;19.90;45.00;290.00;9.70;
1;15.00;35.00;2052.00;17.40;20.00;39.50;15.70;48.00;334.00;23.00;22.30;68.00;402.00;11.50;
1;15.00;40.00;1596.00;20.30;22.70;40.30;17.90;52.00;422.00;27.00;23.10;95.00;517.00;12.90;
1;15.00;45.00;1284.00;22.90;25.10;41.10;20.20;54.00;505.00;30.00;22.60;125.00;630.00;14.00;
1;15.00;50.00;1061.00;25.20;27.10;42.10;22.50;55.00;579.00;34.00;21.50;159.00;738.00;14.80;
1;15.00;55.00;900.00;27.10;28.80;43.30;24.80;55.00;640.00;36.00;19.60;195.00;835.00;15.20;
1;15.00;60.00;781.00;28.80;30.30;44.80;27.00;54.00;692.00;39.00;18.10;234.00;926.00;15.40;
1;15.00;65.00;691.00;30.20;31.50;46.40;29.20;52.00;735.00;41.00;16.90;275.00;1010.00;15.50;
1;15.00;70.00;621.00;31.50;32.70;48.20;31.40;51.00;772.00;43.00;15.90;318.00;1090.00;15.60;
1;15.00;75.00;563.00;32.70;33.80;49.90;33.60;49.00;805.00;44.00;15.30;362.00;1167.00;15.60;
1;15.00;80.00;514.00;33.80;34.80;51.40;35.70;48.00;833.00;45.00;14.70;407.00;1240.00;15.50;
1;15.00;85.00;471.00;34.80;35.80;52.70;37.70;47.00;857.00;46.00;14.00;453.00;1310.00;15.40;
1;15.00;90.00;433.00;35.70;36.70;53.50;39.70;46.00;876.00;47.00;13.30;500.00;1376.00;15.30;
1;15.00;95.00;398.00;36.60;37.50;54.00;41.60;45.00;893.00;47.00;12.70;547.00;1440.00;15.20;
1;15.00;100.00;366.00;37.30;38.20;54.00;43.40;45.00;905.00;48.00;12.00;595.00;1500.00;15.00;
1;15.00;105.00;337.00;38.00;38.90;53.80;45.10;45.00;913.00;48.00;11.30;643.00;1556.00;14.80;
1;15.00;110.00;312.00;38.70;39.60;53.50;46.80;44.00;920.00;48.00;10.90;691.00;1611.00;14.60;
1;15.00;115.00;289.00;39.30;40.20;53.00;49.30;44.00;924.00;48.00;10.50;739.00;1663.00;14.50;
1;15.00;120.00;267.00;39.90;40.80;52.30;49.90;44.00;925.00;49.00;10.10;788.00;1713.00;14.30;
1;15.00;125.00;247.00;40.40;41.30;51.40;51.40;44.00;925.00;49.00;9.70;837.00;1762.00;14.10;
